user,dataMode,time,error,qType,vRate,eRate,ans,correct,confidence,age,sex,degree,monitor,computer,expert,expertProgressive
jt8ot9lu,V5E5,4344,0.35,1,5,5,175000,130000,2,25-39,Male,Bachelors,15,31-40,novice,low-intermediate
jt8ot9lu,V5E5,3265,0,2,5,5,E,E,4,25-39,Male,Bachelors,15,31-40,novice,low-intermediate
jt8ota6r,V20E20,14253,0.14,1,20,20,120000,105000,3,25-39,Male,High School,23 or larger,41-50,novice,novice
jt8ota6r,V20E20,13940,0,2,20,20,C,C,4,25-39,Male,High School,23 or larger,41-50,novice,novice
jt8ota6r,V20E20,1004,0.11,0,20,20,50000,45000,2,25-39,Male,High School,23 or larger,41-50,novice,novice
jt8ota6r,V20E20,17695,0.15,1,20,20,150000,130000,3,25-39,Male,High School,23 or larger,41-50,novice,novice
jt8ota6r,V20E20,4608,0,2,20,20,E,E,3,25-39,Male,High School,23 or larger,41-50,novice,novice
jt8ota8k,V15E10,18016,0.14,1,15,10,120000,105000,1,50-59,Female,Bachelors,dontknow,gt60,intermediate,intermediate
jt8ota8k,V15E10,5700,1,2,15,10,a,C,2,50-59,Female,Bachelors,dontknow,gt60,intermediate,intermediate
jt8ota8k,V15E10,6504,0.33,0,15,10,60000,45000,2,50-59,Female,Bachelors,dontknow,gt60,intermediate,intermediate
jt8ota8k,V15E10,5231,0.38,1,15,10,180000,130000,1,50-59,Female,Bachelors,dontknow,gt60,intermediate,intermediate
jt8ota8k,V15E10,6705,0,2,15,10,e,E,2,50-59,Female,Bachelors,dontknow,gt60,intermediate,intermediate
jt8otdox,V10E5,16256,0.33,1,10,5,140000,105000,1,25-39,Female,Masters,15,51-60,novice,novice
jt8otdox,V10E5,7008,0,2,10,5,C,C,4,25-39,Female,Masters,15,51-60,novice,novice
jt8otdox,V10E5,15936,0.01,0,10,5,45600,45000,1,25-39,Female,Masters,15,51-60,novice,novice
jt8otdox,V10E5,6968,0,1,10,5,130000,130000,1,25-39,Female,Masters,15,51-60,novice,novice
jt8otdox,V10E5,3048,0,2,10,5,E,E,3,25-39,Female,Masters,15,51-60,novice,novice
jt8oti3g,V5E20,12903,0.05,1,5,20,100000,105000,3,25-39,Male,Bachelors,19,31-40,low-intermediate,low-intermediate
jt8oti3g,V5E20,8895,0,2,5,20,C,C,3,25-39,Male,Bachelors,19,31-40,low-intermediate,low-intermediate
jt8oti3g,V5E20,19331,0,0,5,20,45000,45000,2,25-39,Male,Bachelors,19,31-40,low-intermediate,low-intermediate
jt8oti3g,V5E20,10296,0,1,5,20,130000,130000,3,25-39,Male,Bachelors,19,31-40,low-intermediate,low-intermediate
jt8oti3g,V5E20,15029,0,2,5,20,E,E,2,25-39,Male,Bachelors,19,31-40,low-intermediate,low-intermediate
jt8otjym,V15E15,5350,0.14,1,15,15,90000,105000,2,25-39,Male,High School,23 or larger,21-30,low-intermediate,novice
jt8otjym,V15E15,6775,0,2,15,15,C,C,4,25-39,Male,High School,23 or larger,21-30,low-intermediate,novice
jt8otjym,V15E15,5784,0.11,0,15,15,50000,45000,3,25-39,Male,High School,23 or larger,21-30,low-intermediate,novice
jt8otjym,V15E15,6919,0.08,1,15,15,141000,130000,3,25-39,Male,High School,23 or larger,21-30,low-intermediate,novice
jt8otjym,V15E15,5794,0,2,15,15,E,E,4,25-39,Male,High School,23 or larger,21-30,low-intermediate,novice
jt8otkr9,V10E10,4104,0.05,1,10,10,100000,105000,3,25-39,Female,Masters,19,31-40,expert,expert
jt8otkr9,V10E10,7280,0,2,10,10,C,C,4,25-39,Female,Masters,19,31-40,expert,expert
jt8otkr9,V10E10,6920,0,0,10,10,45000,45000,3,25-39,Female,Masters,19,31-40,expert,expert
jt8otkr9,V10E10,3504,0.08,1,10,10,120000,130000,3,25-39,Female,Masters,19,31-40,expert,expert
jt8otkr9,V10E10,2768,0,2,10,10,E,E,4,25-39,Female,Masters,19,31-40,expert,expert
jt8otlyi,V5E20,976,0.36,1,5,20,67000,105000,1,50-59,Female,PhD,21,31-40,novice,novice
jt8otlyi,V5E20,704,1,2,5,20,a,C,1,50-59,Female,PhD,21,31-40,novice,novice
jt8otlyi,V5E20,8159,0.04,0,5,20,46800,45000,4,50-59,Female,PhD,21,31-40,novice,novice
jt8otlyi,V5E20,21912,0,1,5,20,130000,130000,1,50-59,Female,PhD,21,31-40,novice,novice
jt8otlyi,V5E20,992,0,2,5,20,e,E,1,50-59,Female,PhD,21,31-40,novice,novice
jt8otmpd,V10E20,23057,0,1,10,20,105000,105000,1,25-39,Male,High School,15,21-30,novice,novice
jt8otmpd,V10E20,5816,0,2,10,20,C,C,4,25-39,Male,High School,15,21-30,novice,novice
jt8otmpd,V10E20,15952,0.02,0,10,20,44000,45000,1,25-39,Male,High School,15,21-30,novice,novice
jt8otmpd,V10E20,14201,0.05,1,10,20,124000,130000,1,25-39,Male,High School,15,21-30,novice,novice
jt8otmpd,V10E20,5199,0,2,10,20,E,E,3,25-39,Male,High School,15,21-30,novice,novice
jt8otmy5,V5E5,17010,0.05,1,5,5,110000,105000,3,25-39,Female,Bachelors,15,41-50,high-intermediate,novice
jt8otmy5,V5E5,10064,0,2,5,5,C,C,2,25-39,Female,Bachelors,15,41-50,high-intermediate,novice
jt8otmy5,V5E5,12666,0.02,0,5,5,45800,45000,2,25-39,Female,Bachelors,15,41-50,high-intermediate,novice
jt8otmy5,V5E5,12777,0.02,1,5,5,127800,130000,2,25-39,Female,Bachelors,15,41-50,high-intermediate,novice
jt8otmy5,V5E5,3735,0,2,5,5,E,E,3,25-39,Female,Bachelors,15,41-50,high-intermediate,novice
jt8otnqb,V20E20,5159,0.05,1,20,20,100000,105000,2,25-39,Male,Masters,17,51-60,intermediate,intermediate
jt8otnqb,V20E20,6424,0,2,20,20,C,C,2,25-39,Male,Masters,17,51-60,intermediate,intermediate
jt8otnqb,V20E20,12365,0.11,0,20,20,40000,45000,3,25-39,Male,Masters,17,51-60,intermediate,intermediate
jt8otnqb,V20E20,7370,0.04,1,20,20,135000,130000,3,25-39,Male,Masters,17,51-60,intermediate,intermediate
jt8otnqb,V20E20,4342,0,2,20,20,e,E,2,25-39,Male,Masters,17,51-60,intermediate,intermediate
jt8otodd,V10E10,12446,0.05,1,10,10,100000,105000,3,40-49,Male,Masters,23 or larger,gt60,novice,novice
jt8otodd,V10E10,9930,0,2,10,10,C,C,4,40-49,Male,Masters,23 or larger,gt60,novice,novice
jt8otodd,V10E10,16164,0,0,10,10,45000,45000,3,40-49,Male,Masters,23 or larger,gt60,novice,novice
jt8otodd,V10E10,15132,0,1,10,10,130000,130000,2,40-49,Male,Masters,23 or larger,gt60,novice,novice
jt8otodd,V10E10,11756,0,2,10,10,E,E,3,40-49,Male,Masters,23 or larger,gt60,novice,novice
jt8otpf3,V20E10,23212,0.33,1,20,10,140000,105000,3,25-39,Female,Other,15,31-40,novice,novice
jt8otpf3,V20E10,13026,0,2,20,10,C,C,4,25-39,Female,Other,15,31-40,novice,novice
jt8otpf3,V20E10,11942,0.56,0,20,10,70000,45000,3,25-39,Female,Other,15,31-40,novice,novice
jt8otpf3,V20E10,20277,0.38,1,20,10,180000,130000,4,25-39,Female,Other,15,31-40,novice,novice
jt8otpf3,V20E10,8264,0,2,20,10,E,E,4,25-39,Female,Other,15,31-40,novice,novice
jt8otqtw,V10E10,13428,0.05,1,10,10,100000,105000,3,25-39,Female,Bachelors,19,gt60,intermediate,novice
jt8otqtw,V10E10,16753,0,2,10,10,C,C,3,25-39,Female,Bachelors,19,gt60,intermediate,novice
jt8otqtw,V10E10,15031,0.11,0,10,10,40000,45000,3,25-39,Female,Bachelors,19,gt60,intermediate,novice
jt8otqtw,V10E10,19848,0.08,1,10,10,120000,130000,2,25-39,Female,Bachelors,19,gt60,intermediate,novice
jt8otqtw,V10E10,11520,0,2,10,10,E,E,4,25-39,Female,Bachelors,19,gt60,intermediate,novice
jt8otrb5,V10E15,14127,0.38,1,10,15,145000,105000,2,40-49,Male,Bachelors,23 or larger,31-40,high-intermediate,high-intermediate
jt8otrb5,V10E15,6033,0,2,10,15,c,C,4,40-49,Male,Bachelors,23 or larger,31-40,high-intermediate,high-intermediate
jt8otrb5,V10E15,9041,0.33,0,10,15,60000,45000,2,40-49,Male,Bachelors,23 or larger,31-40,high-intermediate,high-intermediate
jt8otrb5,V10E15,11897,0.19,1,10,15,155000,130000,2,40-49,Male,Bachelors,23 or larger,31-40,high-intermediate,high-intermediate
jt8otrb5,V10E15,5768,0,2,10,15,e,E,4,40-49,Male,Bachelors,23 or larger,31-40,high-intermediate,high-intermediate
jt8otrdp,V20E15,13021,0.24,1,20,15,130000,105000,2,25-39,Male,Other,17,51-60,low-intermediate,intermediate
jt8otrdp,V20E15,8720,0,2,20,15,C,C,3,25-39,Male,Other,17,51-60,low-intermediate,intermediate
jt8otrdp,V20E15,10375,0.11,0,20,15,50000,45000,3,25-39,Male,Other,17,51-60,low-intermediate,intermediate
jt8otrdp,V20E15,1088,0.69,1,20,15,40000,130000,1,25-39,Male,Other,17,51-60,low-intermediate,intermediate
jt8otrdp,V20E15,13341,0,2,20,15,E,E,3,25-39,Male,Other,17,51-60,low-intermediate,intermediate
jt8otsi8,V5E10,21405,0.05,1,5,10,100000,105000,3,25-39,Male,Bachelors,17,41-50,high-intermediate,low-intermediate
jt8otsi8,V5E10,8151,0,2,5,10,c,C,4,25-39,Male,Bachelors,17,41-50,high-intermediate,low-intermediate
jt8otsi8,V5E10,25290,0.02,0,5,10,44000,45000,2,25-39,Male,Bachelors,17,41-50,high-intermediate,low-intermediate
jt8otsi8,V5E10,19232,0.04,1,5,10,135000,130000,2,25-39,Male,Bachelors,17,41-50,high-intermediate,low-intermediate
jt8otsi8,V5E10,18402,0,2,5,10,E,E,4,25-39,Male,Bachelors,17,41-50,high-intermediate,low-intermediate
jt8ott43,V20E20,19246,0.05,1,20,20,110000,105000,3,25-39,Female,Bachelors,21,43789,intermediate,intermediate
jt8ott43,V20E20,20033,1,2,20,20,A,C,3,25-39,Female,Bachelors,21,43789,intermediate,intermediate
jt8ott43,V20E20,22409,0.11,0,20,20,40000,45000,3,25-39,Female,Bachelors,21,43789,intermediate,intermediate
jt8ott43,V20E20,20056,0.08,1,20,20,141000,130000,3,25-39,Female,Bachelors,21,43789,intermediate,intermediate
jt8ott43,V20E20,10757,0,2,20,20,E,E,3,25-39,Female,Bachelors,21,43789,intermediate,intermediate
jt8ott64,V10E10,11896,0.05,1,10,10,110000,105000,2,25-39,Male,Masters,13,43789,high-intermediate,low-intermediate
jt8ott64,V10E10,3192,0,2,10,10,c,C,4,25-39,Male,Masters,13,43789,high-intermediate,low-intermediate
jt8ott64,V10E10,9888,0.11,0,10,10,40000,45000,3,25-39,Male,Masters,13,43789,high-intermediate,low-intermediate
jt8ott64,V10E10,15423,0.08,1,10,10,140000,130000,2,25-39,Male,Masters,13,43789,high-intermediate,low-intermediate
jt8ott64,V10E10,5128,0,2,10,10,E,E,4,25-39,Male,Masters,13,43789,high-intermediate,low-intermediate
jt8otun5,V10E10,15941,0.08,1,10,10,113000,105000,3,25-39,Male,Bachelors,23 or larger,41-50,expert,high-intermediate
jt8otun5,V10E10,17291,0,2,10,10,C,C,4,25-39,Male,Bachelors,23 or larger,41-50,expert,high-intermediate
jt8otun5,V10E10,9100,0,0,10,10,45000,45000,3,25-39,Male,Bachelors,23 or larger,41-50,expert,high-intermediate
jt8otun5,V10E10,9866,0.04,1,10,10,125000,130000,3,25-39,Male,Bachelors,23 or larger,41-50,expert,high-intermediate
jt8otun5,V10E10,5840,0,2,10,10,E,E,4,25-39,Male,Bachelors,23 or larger,41-50,expert,high-intermediate
jt8otutr,V15E10,29168,0.05,1,15,10,100000,105000,3,25-39,Female,High School,23 or larger,43626,novice,novice
jt8otutr,V15E10,11262,0,2,15,10,C,C,3,25-39,Female,High School,23 or larger,43626,novice,novice
jt8otutr,V15E10,33633,0,0,15,10,45000,45000,3,25-39,Female,High School,23 or larger,43626,novice,novice
jt8otutr,V15E10,23574,0,1,15,10,130000,130000,3,25-39,Female,High School,23 or larger,43626,novice,novice
jt8otutr,V15E10,20200,0,2,15,10,E,E,4,25-39,Female,High School,23 or larger,43626,novice,novice
jt8otvxb,V5E10,15612,0.43,1,5,10,150000,105000,2,18-24,Male,Bachelors,11,43789,low-intermediate,low-intermediate
jt8otvxb,V5E10,5857,0,2,5,10,C,C,4,18-24,Male,Bachelors,11,43789,low-intermediate,low-intermediate
jt8otvxb,V5E10,1098,0.33,0,5,10,60000,45000,4,18-24,Male,Bachelors,11,43789,low-intermediate,low-intermediate
jt8otvxb,V5E10,1215,0.38,1,5,10,180000,130000,3,18-24,Male,Bachelors,11,43789,low-intermediate,low-intermediate
jt8otvxb,V5E10,975,1,2,5,10,D,E,1,18-24,Male,Bachelors,11,43789,low-intermediate,low-intermediate
jt8otwjk,V15E15,14930,0,1,15,15,105000,105000,3,25-39,Female,High School,13,21-30,novice,novice
jt8otwjk,V15E15,12712,0,2,15,15,c,C,4,25-39,Female,High School,13,21-30,novice,novice
jt8otwjk,V15E15,11030,0.02,0,15,15,46000,45000,2,25-39,Female,High School,13,21-30,novice,novice
jt8otwjk,V15E15,25558,0.04,1,15,15,125000,130000,3,25-39,Female,High School,13,21-30,novice,novice
jt8otwjk,V15E15,14401,0,2,15,15,e,E,4,25-39,Female,High School,13,21-30,novice,novice
jt8otws9,V5E5,9937,0.05,1,5,5,100000,105000,3,60,Female,High School,17,41-50,novice,novice
jt8otws9,V5E5,7128,0,2,5,5,c,C,4,60,Female,High School,17,41-50,novice,novice
jt8otws9,V5E5,10072,0.07,0,5,5,42000,45000,3,60,Female,High School,17,41-50,novice,novice
jt8otws9,V5E5,13752,0.04,1,5,5,125000,130000,3,60,Female,High School,17,41-50,novice,novice
jt8otws9,V5E5,4367,0,2,5,5,e,E,4,60,Female,High School,17,41-50,novice,novice
jt8otylm,V5E5,14652,0.01,1,5,5,104000,105000,3,40-49,Female,Bachelors,15,31-40,low-intermediate,novice
jt8otylm,V5E5,4051,0,2,5,5,C,C,3,40-49,Female,Bachelors,15,31-40,low-intermediate,novice
jt8otylm,V5E5,15112,0.04,0,5,5,43000,45000,3,40-49,Female,Bachelors,15,31-40,low-intermediate,novice
jt8otylm,V5E5,23978,0.01,1,5,5,129000,130000,3,40-49,Female,Bachelors,15,31-40,low-intermediate,novice
jt8otylm,V5E5,5834,0,2,5,5,E,E,3,40-49,Female,Bachelors,15,31-40,low-intermediate,novice
jt8otzwx,V20E10,10929,0.1,1,20,10,95000,105000,3,25-39,Female,Bachelors,15,31-40,intermediate,novice
jt8otzwx,V20E10,6033,0,2,20,10,C,C,3,25-39,Female,Bachelors,15,31-40,intermediate,novice
jt8otzwx,V20E10,5107,0.07,0,20,10,42000,45000,3,25-39,Female,Bachelors,15,31-40,intermediate,novice
jt8otzwx,V20E10,11301,0.08,1,20,10,120000,130000,2,25-39,Female,Bachelors,15,31-40,intermediate,novice
jt8otzwx,V20E10,8966,0,2,20,10,E,E,3,25-39,Female,Bachelors,15,31-40,intermediate,novice
jt8ou0hd,V10E15,7041,0,1,10,15,105000,105000,3,40-49,Male,Bachelors,17,31-40,novice,novice
jt8ou0hd,V10E15,4873,0,2,10,15,c,C,3,40-49,Male,Bachelors,17,31-40,novice,novice
jt8ou0hd,V10E15,7194,0,0,10,15,45000,45000,3,40-49,Male,Bachelors,17,31-40,novice,novice
jt8ou0hd,V10E15,5974,0.08,1,10,15,140000,130000,3,40-49,Male,Bachelors,17,31-40,novice,novice
jt8ou0hd,V10E15,5924,0,2,10,15,e,E,3,40-49,Male,Bachelors,17,31-40,novice,novice
jt8ou0hj,V15E20,6719,0.1,1,15,20,115000,105000,3,50-59,Female,High School,21,gt60,low-intermediate,novice
jt8ou0hj,V15E20,10569,1,2,15,20,A,C,2,50-59,Female,High School,21,gt60,low-intermediate,novice
jt8ou0hj,V15E20,12902,0.29,0,15,20,58000,45000,3,50-59,Female,High School,21,gt60,low-intermediate,novice
jt8ou0hj,V15E20,9170,0.15,1,15,20,150000,130000,3,50-59,Female,High School,21,gt60,low-intermediate,novice
jt8ou0hj,V15E20,9220,0,2,15,20,E,E,3,50-59,Female,High School,21,gt60,low-intermediate,novice
jt8ou20k,V5E10,25480,0.9,1,5,10,11000,105000,1,50-59,Female,High School,21,41-50,novice,novice
jt8ou20k,V5E10,10831,0,2,5,10,C,C,3,50-59,Female,High School,21,41-50,novice,novice
jt8ou20k,V5E10,8080,0.33,0,5,10,60000,45000,4,50-59,Female,High School,21,41-50,novice,novice
jt8ou20k,V5E10,13928,0.38,1,5,10,180000,130000,2,50-59,Female,High School,21,41-50,novice,novice
jt8ou20k,V5E10,5080,0,2,5,10,E,E,4,50-59,Female,High School,21,41-50,novice,novice
jt8ou3pb,V5E5,8259,0.33,1,5,5,140000,105000,3,25-39,Female,Bachelors,17,31-40,novice,novice
jt8ou3pb,V5E5,6584,0,2,5,5,C,C,4,25-39,Female,Bachelors,17,31-40,novice,novice
jt8ou3pb,V5E5,8612,0.33,0,5,5,60000,45000,3,25-39,Female,Bachelors,17,31-40,novice,novice
jt8ou3pb,V5E5,12301,0.27,1,5,5,165000,130000,3,25-39,Female,Bachelors,17,31-40,novice,novice
jt8ou3pb,V5E5,6569,0,2,5,5,E,E,4,25-39,Female,Bachelors,17,31-40,novice,novice
jt8ou6fn,V10E20,13905,0.05,1,10,20,100000,105000,3,25-39,Female,High School,13,31-40,novice,novice
jt8ou6fn,V10E20,6818,0,2,10,20,C,C,2,25-39,Female,High School,13,31-40,novice,novice
jt8ou6fn,V10E20,15818,0,0,10,20,45000,45000,3,25-39,Female,High School,13,31-40,novice,novice
jt8ou6fn,V10E20,13421,0.5,1,10,20,65000,130000,3,25-39,Female,High School,13,31-40,novice,novice
jt8ou6fn,V10E20,21010,0,2,10,20,E,E,3,25-39,Female,High School,13,31-40,novice,novice
jt8ou6l2,V10E10,17511,0.05,1,10,10,100000,105000,3,25-39,Unspecified,Bachelors,21,41-50,intermediate,novice
jt8ou6l2,V10E10,18996,0,2,10,10,c,C,4,25-39,Unspecified,Bachelors,21,41-50,intermediate,novice
jt8ou6l2,V10E10,15111,0.11,0,10,10,50000,45000,2,25-39,Unspecified,Bachelors,21,41-50,intermediate,novice
jt8ou6l2,V10E10,14028,0,1,10,10,130000,130000,4,25-39,Unspecified,Bachelors,21,41-50,intermediate,novice
jt8ou6l2,V10E10,21806,0,2,10,10,e,E,4,25-39,Unspecified,Bachelors,21,41-50,intermediate,novice
jt8ou7a1,V15E10,12057,0.05,1,15,10,100000,105000,2,40-49,Male,Bachelors,21,41-50,low-intermediate,novice
jt8ou7a1,V15E10,8240,0,2,15,10,c,C,3,40-49,Male,Bachelors,21,41-50,low-intermediate,novice
jt8ou7a1,V15E10,15496,0.11,0,15,10,50000,45000,2,40-49,Male,Bachelors,21,41-50,low-intermediate,novice
jt8ou7a1,V15E10,13327,0.08,1,15,10,120000,130000,2,40-49,Male,Bachelors,21,41-50,low-intermediate,novice
jt8ou7a1,V15E10,15232,0,2,15,10,e,E,1,40-49,Male,Bachelors,21,41-50,low-intermediate,novice
jt8ou8mt,V15E15,12999,0.14,1,15,15,120000,105000,3,60,Female,High School,23 or larger,gt60,low-intermediate,novice
jt8ou8mt,V15E15,18031,0,2,15,15,C,C,3,60,Female,High School,23 or larger,gt60,low-intermediate,novice
jt8ou8mt,V15E15,9207,0.11,0,15,15,50000,45000,3,60,Female,High School,23 or larger,gt60,low-intermediate,novice
jt8ou8mt,V15E15,16559,0.08,1,15,15,140000,130000,3,60,Female,High School,23 or larger,gt60,low-intermediate,novice
jt8ou8mt,V15E15,10496,0,2,15,15,E,E,3,60,Female,High School,23 or larger,gt60,low-intermediate,novice
jt8ou92g,V5E10,14752,0.05,1,5,10,110000,105000,2,25-39,Male,Bachelors,15,31-40,novice,novice
jt8ou92g,V5E10,7544,0,2,5,10,C,C,3,25-39,Male,Bachelors,15,31-40,novice,novice
jt8ou92g,V5E10,8308,0,0,5,10,45000,45000,3,25-39,Male,Bachelors,15,31-40,novice,novice
jt8ou92g,V5E10,9748,0,1,5,10,130000,130000,2,25-39,Male,Bachelors,15,31-40,novice,novice
jt8ou92g,V5E10,7342,0,2,5,10,E,E,4,25-39,Male,Bachelors,15,31-40,novice,novice
jt8ou956,V5E5,12114,0.05,1,5,5,110000,105000,2,25-39,Male,Bachelors,15,51-60,high-intermediate,high-intermediate
jt8ou956,V5E5,7264,0,2,5,5,C,C,2,25-39,Male,Bachelors,15,51-60,high-intermediate,high-intermediate
jt8ou956,V5E5,8296,0.07,0,5,5,42000,45000,2,25-39,Male,Bachelors,15,51-60,high-intermediate,high-intermediate
jt8ou956,V5E5,7505,0,1,5,5,130000,130000,1,25-39,Male,Bachelors,15,51-60,high-intermediate,high-intermediate
jt8ou956,V5E5,3644,0,2,5,5,E,E,2,25-39,Male,Bachelors,15,51-60,high-intermediate,high-intermediate
jt8ou9ty,V5E15,8822,0.05,1,5,15,110000,105000,3,25-39,Male,Bachelors,23 or larger,41-50,low-intermediate,intermediate
jt8ou9ty,V5E15,3752,0,2,5,15,C,C,4,25-39,Male,Bachelors,23 or larger,41-50,low-intermediate,intermediate
jt8ou9ty,V5E15,3276,0.11,0,5,15,40000,45000,4,25-39,Male,Bachelors,23 or larger,41-50,low-intermediate,intermediate
jt8ou9ty,V5E15,5121,0,1,5,15,130000,130000,3,25-39,Male,Bachelors,23 or larger,41-50,low-intermediate,intermediate
jt8ou9ty,V5E15,3420,0,2,5,15,E,E,4,25-39,Male,Bachelors,23 or larger,41-50,low-intermediate,intermediate
jt8oua28,V10E5,12720,0.07,1,10,5,98000,105000,1,40-49,Male,PhD,19,gt60,intermediate,low-intermediate
jt8oua28,V10E5,1072,0,2,10,5,C,C,4,40-49,Male,PhD,19,gt60,intermediate,low-intermediate
jt8oua28,V10E5,5792,0.08,0,10,5,48700,45000,3,40-49,Male,PhD,19,gt60,intermediate,low-intermediate
jt8oua28,V10E5,8808,0,1,10,5,130000,130000,3,40-49,Male,PhD,19,gt60,intermediate,low-intermediate
jt8oua28,V10E5,1104,0,2,10,5,E,E,4,40-49,Male,PhD,19,gt60,intermediate,low-intermediate
jt8oub42,V15E20,3784,0.33,1,15,20,140000,105000,4,25-39,Female,Bachelors,23 or larger,43789,intermediate,intermediate
jt8oub42,V15E20,4874,1,2,15,20,a,C,4,25-39,Female,Bachelors,23 or larger,43789,intermediate,intermediate
jt8oub42,V15E20,2240,0.33,0,15,20,60000,45000,4,25-39,Female,Bachelors,23 or larger,43789,intermediate,intermediate
jt8oub42,V15E20,2632,0.38,1,15,20,180000,130000,4,25-39,Female,Bachelors,23 or larger,43789,intermediate,intermediate
jt8oub42,V15E20,1978,0,2,15,20,e,E,4,25-39,Female,Bachelors,23 or larger,43789,intermediate,intermediate
jt8ouba6,V20E5,5704,0.19,1,20,5,125000,105000,1,25-39,Male,High School,13,43626,low-intermediate,novice
jt8ouba6,V20E5,4983,0,2,20,5,C,C,3,25-39,Male,High School,13,43626,low-intermediate,novice
jt8ouba6,V20E5,6530,0.27,0,20,5,57000,45000,2,25-39,Male,High School,13,43626,low-intermediate,novice
jt8ouba6,V20E5,7400,0.42,1,20,5,185000,130000,3,25-39,Male,High School,13,43626,low-intermediate,novice
jt8ouba6,V20E5,4486,0,2,20,5,E,E,3,25-39,Male,High School,13,43626,low-intermediate,novice
jt8oube7,V15E20,18816,0,1,15,20,105000,105000,3,60,Female,Bachelors,21,51-60,low-intermediate,novice
jt8oube7,V15E20,6624,0,2,15,20,C,C,4,60,Female,Bachelors,21,51-60,low-intermediate,novice
jt8oube7,V15E20,12728,0.24,0,15,20,56000,45000,3,60,Female,Bachelors,21,51-60,low-intermediate,novice
jt8oube7,V15E20,7680,0.08,1,15,20,140000,130000,2,60,Female,Bachelors,21,51-60,low-intermediate,novice
jt8oube7,V15E20,6848,0,2,15,20,E,E,4,60,Female,Bachelors,21,51-60,low-intermediate,novice
jt8oubri,V15E20,6576,0.09,1,15,20,114000,105000,2,25-39,Male,Other,23 or larger,gt60,novice,novice
jt8oubri,V15E20,5556,0,2,15,20,C,C,3,25-39,Male,Other,23 or larger,gt60,novice,novice
jt8oubri,V15E20,1787,0.03,0,15,20,46200,45000,2,25-39,Male,Other,23 or larger,gt60,novice,novice
jt8oubri,V15E20,9634,0.1,1,15,20,116400,130000,2,25-39,Male,Other,23 or larger,gt60,novice,novice
jt8oubri,V15E20,5644,0,2,15,20,E,E,3,25-39,Male,Other,23 or larger,gt60,novice,novice
jt8oucy0,V5E10,6694,0.31,1,5,10,138000,105000,3,25-39,Female,High School,13,43789,novice,novice
jt8oucy0,V5E10,4656,0,2,5,10,c,C,3,25-39,Female,High School,13,43789,novice,novice
jt8oucy0,V5E10,7164,0.36,0,5,10,61000,45000,3,25-39,Female,High School,13,43789,novice,novice
jt8oucy0,V5E10,5788,0.38,1,5,10,180000,130000,3,25-39,Female,High School,13,43789,novice,novice
jt8oucy0,V5E10,3396,0,2,5,10,e,E,4,25-39,Female,High School,13,43789,novice,novice
jt8oudag,V5E20,22574,0,1,5,20,105200,105000,2,25-39,Female,High School,23 or larger,gt60,novice,novice
jt8oudag,V5E20,17312,0,2,5,20,C,C,4,25-39,Female,High School,23 or larger,gt60,novice,novice
